Job,Business Area,Area of Expertise,Looking,Skills
Business Analyst,COO & Functions,Technology,"Business and Data analysis skills with experience in data migration analysis and process and design mapping
Ability to effectively communicate with, influence and manage stakeholders at all levels, taking account of their levels of influence and interest
Demonstrable experience of gathering and documenting functional and non-functional requirements in at least 1 full end to end implementation
Experience as a Business Analyst on large, global, complex infrastructure change delivery","Formal Business Analyst qualifications and certifications
Knowledge of business readiness activities including training support and operational impact assessments
Experience in data architecture and implementation of strategic deliveries
Working knowledge of word processing tools and other relevant data analytics software packages"
Global Surveillance Transaction Monitoring- AVP,COO & Functions,Compliance,"Manage priorities and demands to achieve stretch goals and deliver results
Exceptional organizational skills - to execute against plans/deadlines
Ability to solve problems rationally and/or creatively, demonstrating professional judgment, quality control and adherence to high standards
Exposure to common Transaction Monitoring systems (Actimize SAM, Quantexa, Oracle Mantas)","Appreciation of the key concepts associated with risk management including inherent risk, controls, and residual risk
Significant Knowledge of effective risk and governance frameworks
Understanding in Financial Institution data (e.g., Customer/Account, Transactional, Payment), systems and flows
Knowledge of the UK and Global Financial Crime regulatory framework"
Business Analyst,COO & Functions,Technology,"Certified Business Analysis Professional (CBAP) from the International institute of Business Analysis (IIBA)&nbsp
Agile Analysis Certification (AAC) from International institute of Business Analysis (IIBA)
Experience of working with firm wide Compliance function in Banking / Financial Services &nbsp
Computer Science / Technology Degree","Microsoft Visio, Balsamiq, Confluence, Jira&nbsp
Certified Scrum Product Owner (CSPO) and/or Certified Scrum Master (CSM) from Scrum Alliance&nbsp
Domain knowledge of Compliance policies applicable to Corporate and Investment Bank, Markets and Research&nbsp
Project management experience"
Senior Technical Lead Architect,COO & Functions,Technology,"University degree in Computer Science
Several years of experience in designing and developing web architectures&nbsp
Several years of Hands on experience with Java EE (JDBC, servlets, collections, threading knowledge, OO concepts) design, development, and implementation
Two plus years of Web UI experience (HTML, HTML5, CSS, JavaScript, JSON, AJAX, JavaScript frameworks)","Working experience in financial industry is a plus&nbsp
Solid attention to detail and ability to diagnose problems quickly and independently
Sharp, quick personality with ability to deal with business and system problems
Solid communication skills and willingness to learn new technologies"
Java Developer,COO & Functions,Technology,"s Degree&nbsp
Significant years of hands on experience in Java technologies including Core Java, Spring boot, spring data JMS, Hibernate, micro services, application servers/containers (JBoss, Tomcat or others)
4+ years of hands on experience with Restful Services
3+ years of experience in Relational Databases like Oracle, SQL Server and PL/SQL","Ability to understand business requirements and develop software solutions
Experience spring-cloud and micro service architecture is a plus
Strong data analysis skills and ability to present the findings to the business users
strong analytical and problem-solving skills, with the ability to deal with numerous tasks simultaneously and with frequently changing priorities"
Lead Data Analyst,COO & Functions,Technology,"Expert level SQL skills
Comprehensive working knowledge on Oracle
Profound understanding or working experiences in SQL and NO SQL Databases
Good experience on LCT process, Version controlling, Unix Scripting","Good understanding of Financial Regulations and an interest in Banking
Knowledge in Customer Journeys in Banking Domain
Experience using business intelligence tools (e.g. Tableau)
Understanding of machine-learnings"
QA Automation Engineer,COO & Functions,Technology,"s Degree
Significant years of overall IT experience with minimum 4 years in automation space
Hands on experience in Selenium web driver with Angular based applications
Thorough knowledge of TDD with cucumber/feature files","Knowledge of the Compliance / Financial Crime domain will be a strong advantage
Data analytical skills with ability to identify data gaps
Experience of working with UI testing tools like protractor, Jasmine or Karma
Experience with Agile methodologies"
Application Support,COO & Functions,Technology,"Experience in production support
goal-oriented
Excellent domain knowledge in banking or financial sector, especially Data Support
Sound understanding of and experience in SDLC (both Waterfall and Agile)","Hands-on experience in ETL Concepts (DataStage, AbInitio etc.,) and Open Systems such as (Linux/Unix, Windows)
Monitoring tools like AppD , ELK, Netcool, Kibana
Expertise in Application Hosting Platforms such as Websphere, JBoss, Apache, Tomcat
Firewalls"
Business Insights & Analytics - AVP,COO & Functions,Operations,"s Degree or equivalent work experience
Experience with scripting languages (VBA, Python, SQL, Alteryx), statistical software (SAS/R) and data visualization software (Tableau), and office (Excel, Word, PowerPoint, Access)
Experience in optimizing and automating reporting, identifying appropriate opportunities to do so in order to drive capacity benefits
Understanding of data management standards and data governance principles","Degree or record of accomplishment in statistics, mathematics, computer science or related scientific disciplines
Will have previously worked in an environment that has enabled them to gain a broad understanding of Financial Services"
WCOB Regulatory VP Lead,COO & Functions,Operations,"s Degree or equivalent work experience
Experience with scripting languages (VBA, Python, SQL, Alteryx), statistical software (SAS/R) and data visualization software (Tableau), and office (Excel, Word, PowerPoint, Access)
Experience in optimizing and automating reporting, identifying appropriate opportunities to do so in order to drive capacity benefits
Knowledge of data management standards and data governance principles","Proven experience of managing operational processes/ leading small teams
Degree or record of accomplishment in statistics, mathematics, computer science or related scientific disciplines
Will have previously worked in an environment that has enabled them to gain a broad understanding of Financial Services"
